0,7	1188	7.95500200883889
4,7	1016	6.80326771126289
0,3	875	5.85911343243605
0,4	783	5.24306950582563
3,7	671	4.49310298647382
1,7	598	4.00428552296772
1,4	556	3.72304807821079
0,6	517	3.46189902236507
3,4	479	3.20744609615642
0,0	472	3.16057318869693
0,1	470	3.14718092942279
6,7	410	2.74541315119861
7,7	410	2.74541315119861
3,6	389	2.60479442882014
7,8	321	2.1494576134994
0,8	313	2.09588857640284
4,4	297	1.98875050220972
4,8	296	1.98205437257265
4,6	289	1.93518146511316
1,3	282	1.88830855765368
1,8	272	1.82134726128298
0,9	243	1.62715950180796
7,9	231	1.54680594616312
5,7	228	1.52671755725191
0,2	201	1.34592205705102
3,3	187	1.25217624213205
0,5	181	1.21199946430963
4,9	177	1.18521494576135
1,6	176	1.17851881612428
2,7	173	1.15843042721307
3,8	168	1.12494977902772
4,5	168	1.12494977902772
3,9	164	1.09816526047944
2,4	149	0.997723315923396
1,1	125	0.837016204633722
1,9	124	0.830320074996652
6,9	124	0.830320074996652
1,5	122	0.816927815722512
3,5	119	0.796839426811303
2,3	112	0.749966519351815
6,8	103	0.689701352618187
5,8	101	0.676309093344047
1,2	87	0.58256327842507
6,6	83	0.555778759876791
2,6	67	0.448640685683675
2,9	60	0.401767778224186
8,8	58	0.388375518950047
5,6	54	0.361591000401768
8,9	54	0.361591000401768
2,5	51	0.341502611490558
2,8	48	0.321414222579349
5,9	43	0.287933574394
5,5	23	0.154010981652605
9,9	20	0.133922592741395
2,2	6	0.040176777822419
	14934	100
