ALL FINAL SCORES SINCE 2000
---------------------------
9,3
3,13
17,7
17,23
17,30
10,19
36,10
20,14
10,28
20,17
24,26
23,35
16,10
7,20
10,38
42,31
10,20
17,34
17,28
30,40
35,21
17,28
24,27
17,33
20,14
31,28
21,27
14,21
10,18
0,16
24,42
10,20
30,13
13,36
24,7
17,23
21,24
10,17
16,27
17,20
17,0
10,28
27,14
17,33
28,28
20,6
10,24
30,17
13,16
41,19
7,13
14,45
21,27
24,28
0,27
31,14
37,35
17,35
14,34
21,10
33,31
24,7
21,31
14,33
14,28
10,38
17,20
32,0
23,35
7,34
17,29
43,14
13,3
20,41
16,18
10,13
17,48
28,42
7,17
7,9
27,31
28,17
27,28
22,24
27,24
17,20
17,20
19,3
10,20
17,30
13,26
41,10
10,27
10,20
13,22
17,14
13,20
21,34
20,22
17,27
26,7
24,34
17,14
21,42
17,19
14,17
16,13
40,17
20,23
31,33
30,27
21,13
24,26
41,14
16,17
52,10
21,24
10,25
14,27
13,38
0,24
17,21
15,12
24,27
24,7
10,23
10,20
17,6
33,17
34,20
10,24
30,27
23,44
21,38
23,7
3,37
15,16
17,20
27,24
20,10
32,10
55,21
13,40
33,31
35,24
10,24
30,31
9,10
10,27
31,27
0,25
41,21
17,34
35,23
10,17
32,31
0,24
27,20
31,14
14,21
10,13
13,17
23,24
28,27
37,13
17,31
13,16
14,24
3,30
23,27
13,15
7,10
21,3
9,10
27,30
14,13
7,45
14,38
19,10
23,6
17,10
35,7
6,28
17,7
20,10
10,21
24,23
13,23
16,21
6,16
10,13
30,28
21,42
24,35
3,28
10,6
21,23
20,21
21,17
0,38
20,17
30,7
10,23
16,14
10,17
21,7
6,27
9,14
45,28
24,13
23,17
23,35
23,3
21,7
10,17
37,34
36,28
22,23
20,24
20,26
24,7
19,14
10,0
31,7
24,21
38,14
12,19
21,23
21,24
21,13
27,19
0,37
18,14
17,20
17,27
9,7
7,26
7,10
24,10
17,34
17,10
31,20
9,14
27,17
24,28
14,31
13,6
0,20
7,35
20,30
13,15
21,29
14,20
23,20
9,13
0,16
17,31
23,20
17,23
34,27
21,33
20,17
24,10
14,17
14,35
14,22
13,26
30,13
23,28
30,24
23,20
13,10
28,13
